Samples	SBS1	SBS5	SBS10a	SBS10b	SBS17a	SBS17b	SBS18	SBS28	SBS37	SBS40
ColoRect-AdenoCA::S.24	2513	5640	0	0	0	0	0	0	0	0
ColoRect-AdenoCA::S.25	2677	2029	0	0	0	0	1809	0	0	5256
ColoRect-AdenoCA::S.26	3254	2560	0	0	0	0	2724	0	0	8427
ColoRect-AdenoCA::S.27	2424	1956	0	0	0	5716	3723	0	0	0
ColoRect-AdenoCA::S.28	3307	0	0	0	0	0	3191	0	0	10539
ColoRect-AdenoCA::S.29	1707	4725	0	0	0	0	2859	0	0	0
ColoRect-AdenoCA::S.30	3649	4124	0	0	0	0	9040	0	0	5318
ColoRect-AdenoCA::S.31	2454	4444	0	0	0	0	3125	0	0	5503
ColoRect-AdenoCA::S.32	2091	2593	0	0	0	0	0	0	0	0
ColoRect-AdenoCA::S.33	1402	890	0	0	0	0	3083	0	0	8943
ColoRect-AdenoCA::S.34	2472	1614	0	0	0	0	0	0	0	8647
ColoRect-AdenoCA::S.35	3791	3078	0	0	0	0	3896	0	0	0
ColoRect-AdenoCA::S.36	2417	2690	0	0	1716	0	8554	0	0	0
ColoRect-AdenoCA::S.37	2825	4521	0	0	0	0	2114	0	0	10391
ColoRect-AdenoCA::S.38	2522	0	0	0	0	1913	0	0	0	6458
ColoRect-AdenoCA::S.39	4014	266	0	0	0	0	9703	0	0	6428
ColoRect-AdenoCA::S.40	2479	1364	0	0	0	0	3134	0	0	0
ColoRect-AdenoCA::S.41	2320	1581	0	0	0	0	2106	0	0	13176
ColoRect-AdenoCA::S.42	2269	2169	0	0	617	0	3046	0	0	8096
ColoRect-AdenoCA::S.43	2261	2225	0	0	1654	0	4379	0	0	8236
ColoRect-AdenoCA::S.44	2216	4672	0	0	0	0	4640	0	0	10822
ColoRect-AdenoCA::S.45	1845	1649	0	0	0	0	2812	0	0	11413
ColoRect-AdenoCA::S.46	1279	4956	0	0	0	0	3073	0	0	0
ColoRect-AdenoCA::S.47	2595	982	0	0	2237	0	0	0	0	9233
ColoRect-AdenoCA::S.48	2615	7590	0	0	0	0	0	0	0	14987
ColoRect-AdenoCA::S.49	1983	185	0	0	0	0	6864	0	0	9595
ColoRect-AdenoCA::S.50	3476	3210	0	0	0	4141	0	0	0	4389
ColoRect-AdenoCA::S.51	1834	3820	0	0	0	0	3110	0	0	0
ColoRect-AdenoCA::S.52	2931	317	0	0	0	0	3807	0	0	0
ColoRect-AdenoCA::S.53	3079	0	0	0	0	0	0	0	0	15362
ColoRect-AdenoCA::S.54	2783	0	0	0	0	0	5398	0	0	6546
ColoRect-AdenoCA::S.55	1704	4586	0	0	0	4741	0	0	0	0
ColoRect-AdenoCA::S.56	2835	2215	0	0	0	0	2185	0	0	3928
ColoRect-AdenoCA::S.57	2111	2193	0	0	0	0	3542	0	0	6595
ColoRect-AdenoCA::S.58	2705	1521	0	0	0	0	6323	0	0	0
ColoRect-AdenoCA::S.59	2614	5802	0	0	0	0	7734	0	0	0
ColoRect-AdenoCA::S.60	2585	0	0	0	0	0	0	0	0	11365
ColoRect-AdenoCA::S.61	2468	830	0	0	0	0	2356	0	2310	6473
ColoRect-AdenoCA::S.62	2544	3206	0	0	0	0	3382	0	0	12152
ColoRect-AdenoCA::S.63	2844	9933	0	0	0	0	7008	0	0	0
ColoRect-AdenoCA::S.64	2208	756	0	0	0	0	0	0	0	15691
ColoRect-AdenoCA::S.65	3583	3158	0	0	0	0	2971	0	0	5837
ColoRect-AdenoCA::S.66	2045	1770	0	0	0	0	0	0	1614	4905
ColoRect-AdenoCA::S.67	2528	1524	0	0	0	0	1478	0	0	6454
ColoRect-AdenoCA::S.68	3285	378	0	0	0	0	3277	0	0	7386
ColoRect-AdenoCA::S.69	2716	1154	0	0	0	0	2674	0	0	9410
ColoRect-AdenoCA::S.70	2658	2713	0	0	0	0	5422	0	0	11240
ColoRect-AdenoCA::POLE.S.1	13197	308771	280505	119337	0	0	0	228774	0	0
ColoRect-AdenoCA::POLE.S.2	4407	171091	125752	249210	0	0	0	142206	0	0
ColoRect-AdenoCA::POLE.S.3	48379	78124	401764	103489	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.4	14109	326658	554580	226195	0	0	0	238438	0	0
ColoRect-AdenoCA::POLE.S.5	3883	198302	369242	162954	0	0	0	656981	0	0
ColoRect-AdenoCA::POLE.S.6	5749	111967	525420	241905	0	0	0	80623	0	0
ColoRect-AdenoCA::POLE.S.7	2964	336819	1015018	123527	0	0	0	296892	0	0
ColoRect-AdenoCA::POLE.S.8	26943	123911	708439	184889	0	0	0	286448	0	0
ColoRect-AdenoCA::POLE.S.9	5981	538965	725410	109171	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.10	10329	258656	800826	0	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.11	34862	101712	102109	43353	0	0	0	21375	0	0
ColoRect-AdenoCA::POLE.S.12	13499	320935	747166	481796	0	0	0	0	0	0
ColoRect-AdenoCA::POLE.S.13	9153	94067	228573	132685	0	0	0	90859	0	0
ColoRect-AdenoCA::POLE.S.14	57337	258582	398991	103338	0	0	0	155616	0	0
