,SBS1,SBS5,SBS10a,SBS10b,SBS17a,SBS17b,SBS18,SBS28,SBS37,SBS40
ColoRect-AdenoCA::S.20,2719.0,0.0,0.0,0.0,198.0,0.0,3610.0,0.0,0.0,9199.0
ColoRect-AdenoCA::S.21,2527.0,0.0,0.0,274.0,0.0,133.0,5692.0,843.0,0.0,6738.0
ColoRect-AdenoCA::S.22,2598.0,0.0,0.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.23,3582.0,5751.0,0.0,0.0,0.0,0.0,3981.0,0.0,0.0,1056.0
ColoRect-AdenoCA::S.24,2354.0,4657.0,0.0,215.0,0.0,0.0,312.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.25,2696.0,2010.0,0.0,0.0,0.0,0.0,1817.0,0.0,0.0,5322.0
ColoRect-AdenoCA::S.26,3227.0,2435.0,0.0,0.0,0.0,0.0,2688.0,0.0,0.0,8456.0
ColoRect-AdenoCA::S.27,2406.0,1941.0,0.0,0.0,0.0,5673.0,3696.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.28,3414.0,0.0,221.0,0.0,0.0,0.0,2824.0,0.0,0.0,10981.0
ColoRect-AdenoCA::S.29,1736.0,4808.0,0.0,0.0,0.0,0.0,2909.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.30,3559.0,3641.0,0.0,0.0,1030.0,0.0,9033.0,0.0,0.0,4487.0
ColoRect-AdenoCA::S.31,2410.0,4258.0,0.0,0.0,0.0,0.0,3062.0,0.0,0.0,5519.0
ColoRect-AdenoCA::S.32,2104.0,2496.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.33,1403.0,0.0,0.0,0.0,0.0,0.0,3256.0,160.0,423.0,8456.0
ColoRect-AdenoCA::S.34,2351.0,1068.0,0.0,0.0,0.0,0.0,1230.0,0.0,1396.0,6515.0
ColoRect-AdenoCA::S.35,3801.0,2975.0,0.0,197.0,0.0,0.0,3908.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.36,2417.0,2357.0,330.0,0.0,1700.0,0.0,7829.0,701.0,0.0,0.0
ColoRect-AdenoCA::S.37,2825.0,4316.0,147.0,155.0,0.0,0.0,1789.0,0.0,0.0,10615.0
ColoRect-AdenoCA::S.38,2461.0,0.0,0.0,0.0,0.0,1924.0,1431.0,190.0,0.0,4303.0
ColoRect-AdenoCA::S.39,3945.0,1692.0,0.0,0.0,0.0,0.0,10251.0,773.0,0.0,3738.0
ColoRect-AdenoCA::S.40,2402.0,905.0,0.0,0.0,0.0,0.0,2926.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.41,2332.0,1648.0,0.0,0.0,0.0,129.0,2284.0,0.0,0.0,12672.0
ColoRect-AdenoCA::S.42,2270.0,1774.0,0.0,0.0,577.0,0.0,3094.0,0.0,437.0,8027.0
ColoRect-AdenoCA::S.43,2247.0,2212.0,0.0,0.0,1644.0,0.0,4353.0,0.0,0.0,8187.0
ColoRect-AdenoCA::S.44,2198.0,4635.0,0.0,0.0,0.0,0.0,4603.0,0.0,0.0,10737.0
ColoRect-AdenoCA::S.45,1849.0,2424.0,459.0,0.0,0.0,0.0,2322.0,622.0,0.0,9860.0
ColoRect-AdenoCA::S.46,1302.0,2660.0,0.0,118.0,0.0,0.0,2406.0,0.0,0.0,2794.0
ColoRect-AdenoCA::S.47,2430.0,2473.0,0.0,0.0,2278.0,0.0,1765.0,0.0,0.0,5951.0
ColoRect-AdenoCA::S.48,2627.0,7829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14804.0
ColoRect-AdenoCA::S.49,1955.0,0.0,0.0,265.0,0.0,0.0,6873.0,0.0,0.0,9714.0
ColoRect-AdenoCA::S.50,3484.0,3080.0,0.0,213.0,0.0,4191.0,0.0,0.0,0.0,4452.0
ColoRect-AdenoCA::S.51,1836.0,3314.0,0.0,0.0,0.0,0.0,3024.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.52,3014.0,0.0,415.0,0.0,0.0,0.0,2867.0,0.0,0.0,914.0
ColoRect-AdenoCA::S.53,3110.0,0.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,14840.0
ColoRect-AdenoCA::S.54,2651.0,0.0,0.0,223.0,0.0,0.0,5535.0,441.0,0.0,5010.0
ColoRect-AdenoCA::S.55,1699.0,4571.0,0.0,0.0,0.0,4725.0,0.0,0.0,0.0,0.0
ColoRect-AdenoCA::S.56,2802.0,2071.0,0.0,134.0,0.0,0.0,2144.0,0.0,0.0,3969.0
ColoRect-AdenoCA::S.57,2179.0,2203.0,303.0,0.0,0.0,0.0,3003.0,0.0,0.0,6910.0
ColoRect-AdenoCA::S.58,2764.0,0.0,159.0,0.0,0.0,0.0,5844.0,0.0,0.0,1179.0
ColoRect-AdenoCA::S.59,2609.0,2493.0,0.0,181.0,0.0,0.0,6581.0,0.0,0.0,3704.0
ColoRect-AdenoCA::S.60,2488.0,1083.0,109.0,0.0,0.0,111.0,1155.0,0.0,0.0,8902.0
ColoRect-AdenoCA::S.61,2486.0,0.0,0.0,0.0,0.0,0.0,2373.0,0.0,2327.0,6522.0
ColoRect-AdenoCA::S.62,2537.0,3026.0,0.0,0.0,0.0,0.0,3092.0,0.0,0.0,12362.0
ColoRect-AdenoCA::S.63,2911.0,5824.0,0.0,0.0,0.0,0.0,5747.0,0.0,0.0,5254.0
ColoRect-AdenoCA::S.64,2167.0,1325.0,0.0,0.0,0.0,0.0,547.0,0.0,0.0,14600.0
ColoRect-AdenoCA::S.65,3481.0,2946.0,0.0,236.0,0.0,0.0,2891.0,0.0,0.0,5688.0
ColoRect-AdenoCA::S.66,2045.0,1832.0,0.0,0.0,0.0,0.0,0.0,0.0,1636.0,4767.0
ColoRect-AdenoCA::S.67,2567.0,1533.0,0.0,0.0,0.0,0.0,1396.0,0.0,0.0,6309.0
ColoRect-AdenoCA::S.68,3285.0,0.0,0.0,0.0,0.0,0.0,3276.0,0.0,0.0,7499.0
ColoRect-AdenoCA::S.69,2622.0,1959.0,0.0,0.0,0.0,0.0,2955.0,464.0,0.0,7575.0
ColoRect-AdenoCA::S.70,2738.0,2445.0,454.0,0.0,0.0,0.0,4699.0,143.0,0.0,11397.0
ColoRect-AdenoCA::POLE.S.1,12870.0,302858.0,279092.0,120122.0,0.0,4268.0,13305.0,227666.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.2,4552.0,163888.0,124958.0,248366.0,3960.0,14404.0,0.0,134240.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.3,49693.0,61870.0,398790.0,96289.0,0.0,0.0,0.0,34167.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.4,12166.0,295621.0,540170.0,225689.0,0.0,0.0,62367.0,237645.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.5,6796.0,114166.0,361483.0,163036.0,0.0,17478.0,0.0,635395.0,0.0,101158.0
ColoRect-AdenoCA::POLE.S.6,5786.0,109102.0,523222.0,241455.0,0.0,12229.0,0.0,74326.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.7,0.0,349941.0,1049237.0,128331.0,0.0,0.0,0.0,306793.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.8,28151.0,0.0,661104.0,179165.0,0.0,50603.0,32715.0,240962.0,0.0,132162.0
ColoRect-AdenoCA::POLE.S.9,8768.0,487600.0,729678.0,103112.0,0.0,0.0,0.0,40060.0,36800.0,0.0
ColoRect-AdenoCA::POLE.S.10,7062.0,210397.0,781700.0,21155.0,0.0,5251.0,0.0,42477.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.11,35019.0,91183.0,101508.0,43975.0,0.0,0.0,7235.0,21130.0,8232.0,0.0
ColoRect-AdenoCA::POLE.S.12,20400.0,94224.0,686837.0,438999.0,0.0,13594.0,66799.0,83952.0,0.0,167268.0
ColoRect-AdenoCA::POLE.S.13,9231.0,94227.0,230184.0,133740.0,0.0,0.0,0.0,90248.0,0.0,0.0
ColoRect-AdenoCA::POLE.S.14,58862.0,136043.0,379269.0,102371.0,0.0,0.0,20748.0,145237.0,0.0,136004.0
