Samples	SBS1	SBS2	SBS3	SBS5	SBS8	SBS13	SBS18	SBS35	SBS39	SBS40	SBS41
Ovary-AdenoCA::S.43	650	482	3403	1454	0	0	0	0	0	0	0
Ovary-AdenoCA::S.44	429	621	8299	4761	0	0	0	0	0	0	0
Ovary-AdenoCA::S.45	636	181	5485	902	0	602	0	0	0	0	0
Ovary-AdenoCA::S.46	290	0	0	31	0	0	0	0	0	3245	0
Ovary-AdenoCA::S.47	628	0	0	5334	0	564	0	0	0	0	0
Ovary-AdenoCA::S.48	897	0	9529	0	0	0	0	0	0	5713	0
Ovary-AdenoCA::S.49	532	0	5011	0	0	0	0	0	0	10577	0
Ovary-AdenoCA::S.50	933	423	0	2030	0	1504	0	0	0	0	0
Ovary-AdenoCA::S.51	797	0	12874	474	0	0	0	0	0	0	0
Ovary-AdenoCA::S.52	597	0	5303	605	0	0	0	0	0	0	0
Ovary-AdenoCA::S.53	314	0	2747	0	0	0	0	0	0	0	0
Ovary-AdenoCA::S.54	338	0	4070	154	0	407	0	0	0	4010	0
Ovary-AdenoCA::S.55	608	245	0	2186	0	0	0	0	0	0	0
Ovary-AdenoCA::S.56	963	0	4626	0	0	0	0	0	0	0	0
Ovary-AdenoCA::S.57	399	0	2874	2066	0	1798	0	0	0	0	0
Ovary-AdenoCA::S.58	572	0	6305	202	0	723	0	0	0	0	0
Ovary-AdenoCA::S.59	407	401	4870	2268	0	0	0	0	0	0	0
Ovary-AdenoCA::S.60	582	0	6627	3750	0	0	0	0	0	0	0
Ovary-AdenoCA::S.61	558	601	0	2822	0	0	0	0	0	5721	0
Ovary-AdenoCA::S.62	821	0	6710	674	0	0	0	0	0	0	0
Ovary-AdenoCA::S.63	1130	0	5183	421	0	0	0	0	0	3801	0
Ovary-AdenoCA::S.64	568	0	7355	1234	0	0	0	0	0	0	0
Ovary-AdenoCA::S.65	544	0	7735	0	2289	0	0	0	0	0	0
Ovary-AdenoCA::S.66	598	0	2588	3356	0	935	0	0	0	0	0
Ovary-AdenoCA::S.67	372	0	0	1245	0	0	0	0	0	0	0
Ovary-AdenoCA::S.68	864	0	2447	824	0	0	0	0	0	0	0
Ovary-AdenoCA::S.69	641	0	0	1467	0	0	0	0	0	4826	0
Ovary-AdenoCA::S.70	421	0	0	712	0	0	0	0	0	8692	0
Ovary-AdenoCA::S.71	547	0	5851	2658	0	0	0	0	0	0	0
Ovary-AdenoCA::S.72	500	0	3798	1006	0	370	0	0	0	3926	0
Ovary-AdenoCA::S.73	440	0	2043	787	0	0	0	0	0	0	0
Ovary-AdenoCA::S.74	334	0	5289	965	0	0	0	0	0	6713	0
Ovary-AdenoCA::S.75	282	0	6019	1484	0	0	0	0	0	0	0
Ovary-AdenoCA::S.76	680	0	4669	1616	0	0	0	0	0	0	0
Ovary-AdenoCA::S.77	393	0	4327	1147	0	0	0	0	0	0	0
Ovary-AdenoCA::S.78	583	665	2230	610	0	353	0	0	0	0	0
Ovary-AdenoCA::S.79	1032	0	3667	674	0	0	0	0	0	0	0
Ovary-AdenoCA::S.80	259	0	2288	116	0	483	0	0	0	0	0
Ovary-AdenoCA::S.81	487	0	2868	1781	0	0	0	0	0	4807	0
Ovary-AdenoCA::S.82	558	0	8496	1706	0	588	0	0	0	3696	0
Ovary-AdenoCA::S.83	203	0	12392	3054	0	793	0	0	0	0	0
Ovary-AdenoCA::S.84	483	0	6732	635	0	0	0	0	0	0	0
Ovary-AdenoCA::S.85	491	0	8531	2506	0	0	0	0	0	0	0
Ovary-AdenoCA::S.86	710	0	5742	2201	0	0	0	0	0	0	0
Ovary-AdenoCA::S.87	273	0	2100	2459	0	0	610	0	0	0	0
Ovary-AdenoCA::S.88	277	0	12301	1532	0	0	0	0	0	0	0
Ovary-AdenoCA::S.89	426	554	1446	457	0	0	0	0	0	0	0
Ovary-AdenoCA::S.90	260	0	10774	4823	0	0	0	0	0	0	0
Ovary-AdenoCA::S.91	319	0	2448	259	0	0	636	0	0	0	0
Ovary-AdenoCA::S.92	699	843	7220	2829	0	669	0	0	0	0	0
Ovary-AdenoCA::S.93	469	251	0	1081	0	509	0	0	0	0	0
Ovary-AdenoCA::S.94	498	0	6283	0	0	0	0	0	0	4272	0
Ovary-AdenoCA::S.95	324	222	4505	0	0	0	0	0	0	0	0
Ovary-AdenoCA::S.96	911	0	4275	1705	0	0	0	0	0	0	0
Ovary-AdenoCA::S.97	150	0	0	2330	0	0	0	0	0	10127	0
Ovary-AdenoCA::S.98	302	166	3936	730	0	0	0	0	0	0	0
Ovary-AdenoCA::S.99	771	0	2438	0	0	965	0	0	0	0	0
