Samples	SBS1	SBS4	SBS5	SBS9	SBS12	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS22a	SBS24	SBS29	SBS30	SBS31	SBS35	SBS40
Liver-HCC::S.27	166	2150	5940	0	0	0	0	0	0	1484	0	0	0	0	0	0	0
Liver-HCC::S.28	5	0	4552	0	0	0	0	0	0	0	0	0	0	0	0	0	4456
Liver-HCC::S.29	0	0	7131	0	2646	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.30	0	0	2725	0	0	0	0	0	0	0	0	0	650	0	0	0	0
Liver-HCC::S.31	0	0	4431	0	3567	0	0	0	0	0	0	0	3260	0	0	0	0
Liver-HCC::S.32	12	0	4217	0	0	0	0	0	0	0	0	0	1580	0	0	0	4366
Liver-HCC::S.33	119	0	6281	0	2423	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.34	91	0	5565	0	6435	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.35	74	0	5847	0	3868	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.37	0	0	11236	0	0	0	0	0	0	0	0	0	0	0	0	2103	0
Liver-HCC::S.38	228	0	4019	0	0	0	0	0	0	0	0	0	0	0	3241	0	0
Liver-HCC::S.39	59	0	6476	0	0	0	0	0	0	0	0	0	0	0	0	0	12824
Liver-HCC::S.40	124	3593	11894	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.41	30	0	7020	0	5635	2225	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.42	47	0	10863	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.43	70	0	5433	0	2251	0	0	0	0	0	0	0	2276	0	0	0	0
Liver-HCC::S.44	311	0	11281	0	4150	1825	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.45	6	0	7076	0	3098	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.46	19	4387	14614	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.47	90	3906	10724	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.48	52	0	13105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.49	221	0	8305	0	0	0	0	1587	0	0	0	0	0	0	0	0	0
Liver-HCC::S.50	45	0	10343	0	0	0	0	0	0	0	10769	0	0	0	0	0	0
Liver-HCC::S.52	0	0	21976	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.53	20	4260	10442	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.54	100	4315	3289	0	2457	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.55	5	5583	3781	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.56	187	0	7411	0	0	0	0	0	0	4294	0	0	2610	0	0	0	0
Liver-HCC::S.57	0	0	6887	0	2277	2069	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.58	51	0	22527	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.59	249	0	7917	0	11424	0	0	0	0	0	0	0	0	0	0	5291	0
Liver-HCC::S.60	47	2867	3709	0	0	0	0	0	0	0	0	0	1339	0	0	0	0
Liver-HCC::S.61	19	0	9499	0	5195	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.62	0	0	9897	0	0	0	0	0	0	0	0	0	1121	0	0	0	0
Liver-HCC::S.63	96	0	11029	0	0	0	0	0	0	0	0	0	1266	0	0	0	0
Liver-HCC::S.64	0	0	8733	0	2550	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.65	0	0	9690	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.66	22	0	8208	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.67	0	0	10412	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.68	229	0	13670	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.69	24	0	7220	0	0	895	0	0	0	0	0	0	1075	0	0	0	0
Liver-HCC::S.70	0	3908	11952	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.71	140	0	9797	0	5420	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.72	0	0	5663	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.73	48	0	7775	0	3282	0	0	0	0	0	0	0	2646	0	0	0	0
Liver-HCC::S.74	26	0	6081	0	0	0	0	0	0	0	0	0	826	0	0	0	0
Liver-HCC::S.75	0	0	16639	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.76	114	0	10300	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.77	119	0	9889	0	3766	0	0	0	0	0	0	0	1613	0	0	0	0
Liver-HCC::S.78	101	0	9543	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.79	558	0	6754	0	1384	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.80	195	0	7464	0	0	3227	0	0	0	0	0	0	0	0	0	0	12579
Liver-HCC::S.81	1	0	6165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.82	0	0	9604	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.83	0	0	9392	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.84	2	5905	5454	0	4872	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.85	22	0	4563	0	3696	0	0	0	0	0	0	0	0	0	0	0	5058
Liver-HCC::S.86	204	1711	3611	0	1349	0	0	0	0	0	0	0	1121	0	0	0	0
Liver-HCC::S.87	88	0	20508	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.88	0	0	10582	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.89	0	0	3737	0	4339	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.90	184	0	9073	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.91	10	0	3753	0	2839	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.92	72	0	5131	0	1931	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.93	15	0	6590	0	0	0	0	0	0	0	0	0	1215	0	0	0	0
Liver-HCC::S.94	74	0	3449	0	2027	0	0	0	0	0	0	0	1131	0	0	0	0
Liver-HCC::S.95	0	2424	3636	0	1643	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.96	179	0	3149	0	2756	0	0	0	0	0	0	0	956	0	0	0	0
Liver-HCC::S.97	726	0	10693	0	1944	0	0	0	0	0	0	0	0	0	0	0	0
Liver-HCC::S.98	60	0	9891	0	2651	0	0	0	0	0	3997	0	0	0	0	0	0
Liver-HCC::S.99	0	0	11663	0	0	0	0	0	0	0	0	0	0	0	0	0	0
